WardName,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10,model_11
Enagi,0.40920370042425547,0.3180564379866361,0.485574891590833,0.5438017251186136,0.7113201787228105,0.6201729162851911,0.42368728784316834,0.5353662569126331,0.47460141528755334,0.6250982733755385,0.5146883083547232
Erena,0.3736003670377306,0.5371806452509097,0.42593359037520706,0.6650566029932231,0.5538095481175205,0.7173898263306996,0.5252792050939544,0.45111450184348606,0.5601680206522721,0.6454186591471477,0.5454950966842151
Essa,0.338552566888032,0.38467255888796414,0.5072906814744008,0.3364510079409797,0.4590691305274163,0.5051891225273485,0.3532253779056586,0.43497079296328306,0.4657174542965712,0.43356975366524814,0.4218708447076902
Etsu-Audu,0.3680115697666856,0.2889791462588699,0.4904400994126151,0.35110596681419043,0.5525669199679356,0.4735344964601199,0.33603222761324864,0.4703395297157454,0.4176512473772016,0.4590691277474153,0.42077303311340275
Etsugaie,0.41827992724516727,0.4822736704363588,0.560077246985589,0.3773567472549626,0.4551603238041927,0.5191540669953844,0.4259701149788296,0.47783916601164966,0.520501661472444,0.45055704601817986,0.4687169971202758
Etsutasha,0.4439083650304875,0.3534154944342992,0.4785520819963177,0.6175292540669675,0.742665841628986,0.6521729710327976,0.4716177045105847,0.555042096218597,0.4947135158211382,0.6707893555762503,0.5480406680316425
Fazhi,0.3963225248293745,0.29962525282248553,0.5290921536602652,0.5667852374027597,0.7962521382405393,0.6995548662336503,0.42091100501820655,0.5738889389100597,0.5094240909054669,0.6875307472923163,0.5479386955315124
Fogbe/Kusoyaba,0.3829122069850368,0.3582810728812759,0.5186078786775364,0.44725828966550957,0.6075850954617701,0.5829539613580093,0.3961505231772741,0.5030350603747812,0.4866143043056072,0.5459324488284296,0.48293308417152303
Fuka,0.43194089252013984,0.3325533311869807,0.3754050520180993,0.7071644992139292,0.7500162200450479,0.6506286587118888,0.4905529076403499,0.5191207215277623,0.4528623473056563,0.7026031259902886,0.5412847756160143
Gaba,0.3763223716278374,0.3153755972048995,0.5034641890096507,0.41776397302246526,0.6058525648272164,0.5449057904042786,0.36982064728506736,0.4952130418215681,0.4545818588729429,0.5228407760846534,0.46061408101605794
Gabas,0.5839106691781468,0.33602186269634576,0.5755929871076035,0.33783924793131587,0.5774103723425736,0.3295215658607725,0.4192572599352695,0.578971342876108,0.41371213855490724,0.414923728711554,0.45671611751945973
Galkogo,0.40901783413701176,0.532074860050534,0.3739174190144361,0.694381918894341,0.5362244778582432,0.6592815037717654,0.545158204360629,0.43971991033656366,0.5217579276122452,0.6299626335081165,0.5341496689543886
